题目1: (82.0-81.0)×20.0=
题目284: 75.0÷62.0=
题目285: (40.0-23.0)÷89.0=
题目286: 26.0+94.0÷10.0+8.0=
题目287: 63.0÷89.0×70.0=
题目288: 55.0×37.0+29.0=
题目289: 64.0-11.0+37.0=
题目290: 2.0+3.0×90.0=
题目291: 22.0×27.0=
题目292: 93.0÷13.0=
题目293: 40.0-38.0=
题目294: 1.0+95.0÷72.0=
题目295: 50.0÷98.0+17.0=
题目296: 42.0+89.0+89.0+95.0=
题目297: 63.0+86.0=
题目298: 10.0÷12.0=
题目299: 59.0+97.0÷20.0=
题目300: 38.0×54.0=
题目301: 88.0×29.0+68.0=
题目302: 78.0÷79.0=
题目303: 95.0-82.0=
题目304: 97.0÷8.0÷54.0=
题目305: 87.0-82.0=
题目306: 80.0+17.0+4.0=
题目307: 29.0+92.0÷63.0-7.0=
题目308: 34.0×66.0=
题目309: 18.0×74.0×6.0=
题目310: 14.0+41.0+52.0=
题目311: 38.0-32.0=
题目312: 29.0+87.0=
题目313: 71.0÷1.0+84.0=
题目314: 37.0+25.0=
题目315: 62.0-43.0=
题目316: 72.0×83.0=
题目317: (83.0-58.0)÷25.0=
题目318: 51.0×73.0+41.0=
题目319: 10.0×97.0=
题目320: 56.0-19.0=
题目321: 80.0÷79.0+78.0=
题目322: 3.0+40.0=
题目323: 58.0×13.0=
题目324: 41.0+79.0-10.0=
题目325: 90.0÷27.0=
题目326: 59.0-37.0=
题目327: 89.0-55.0=
题目328: 86.0+58.0=
题目329: (98.0-8.0)×92.0=
题目330: 97.0×9.0=
题目331: 90.0-6.0=
题目332: 99.0×23.0+5.0=
题目333: 89.0÷90.0=
题目334: 95.0-84.0=
题目335: 85.0÷27.0÷38.0=
题目336: 81.0×80.0=
题目337: 87.0×76.0÷13.0=
题目338: 6.0+65.0÷80.0+99.0=
题目339: 42.0×49.0+59.0=
题目340: 72.0+29.0÷44.0×76.0=
题目341: 92.0×43.0+67.0=
题目342: 6.0+54.0+2.0=
题目343: 2.0+26.0×97.0=
题目344: 24.0+92.0=
题目345: 37.0÷56.0÷46.0=
题目346: 94.0-33.0=
题目347: 75.0÷45.0=
题目348: 70.0+74.0=
题目349: 64.0-47.0=
题目350: 39.0÷51.0×35.0=
题目351: 57.0+36.0=
题目352: 3.0×38.0=
题目353: 92.0+54.0=
题目354: 49.0+26.0÷38.0×78.0=
题目355: 37.0÷4.0=
题目356: 9.0+65.0=
题目357: 100.0×86.0+53.0=
题目358: 47.0-29.0=
题目359: 35.0÷91.0=
题目360: 89.0-54.0+76.0=
题目361: 83.0-30.0=
题目362: 96.0×90.0×34.0=
题目363: 84.0×40.0+55.0=
题目364: 1.0÷100.0÷42.0=
题目365: 14.0×52.0=
题目366: 22.0+33.0=
题目367: 82.0×53.0=
题目368: 52.0×33.0×10.0=
题目369: 19.0÷40.0=
题目370: 9.0×39.0=
题目371: 88.0÷41.0=
题目372: 33.0×47.0=
题目373: 80.0-26.0=
题目374: 92.0-8.0+65.0=
题目375: 95.0×11.0=
题目376: 79.0-40.0=
题目377: 94.0+76.0×7.0=
题目378: 80.0×49.0=
题目379: 9.0÷11.0=
题目380: 55.0÷68.0×87.0=
题目381: 85.0+92.0=
题目382: 59.0-6.0=
题目383: 98.0-70.0=
题目384: 76.0×21.0=
题目385: 19.0×19.0+37.0=
题目386: 52.0×99.0+30.0=
题目387: 65.0-61.0=
题目388: 16.0÷63.0×88.0=
题目389: 17.0×52.0=
题目390: 17.0+55.0×86.0=
题目391: 96.0-16.0=
题目392: 38.0×68.0=
题目393: 21.0+42.0-45.0=
题目394: 70.0-34.0+61.0=
题目395: 80.0÷11.0=
题目396: 34.0+85.0-19.0+37.0=
题目397: 26.0÷36.0=
题目398: 24.0×11.0=
题目399: 49.0×71.0=
题目400: 89.0-57.0=
题目401: 68.0-33.0=
题目402: 2.0+63.0-39.0=
题目403: 66.0+80.0+3.0=
题目404: 85.0-83.0=
题目405: 21.0×80.0÷13.0=
题目406: 75.0-42.0=
题目407: 2.0÷69.0=
题目408: 11.0÷31.0÷3.0=
题目409: 48.0×100.0=
题目410: 27.0-32.0+30.0=
题目411: 35.0×17.0=
题目412: (60.0-43.0)÷86.0=
题目413: 43.0×12.0=
题目414: 33.0+74.0=
题目415: 38.0×26.0+46.0=
题目416: 12.0-16.0+18.0=
题目417: 74.0-17.0=
题目418: 23.0÷53.0=
题目419: 97.0-97.0=
题目420: 23.0÷37.0+16.0=
题目421: 55.0÷80.0=
题目422: 79.0+29.0-15.0+8.0=
题目423: 26.0+99.0=
题目424: 99.0÷3.0=
题目425: 53.0+48.0+4.0=
题目426: 34.0÷28.0=
题目427: 49.0÷25.0=
题目428: 26.0+51.0÷90.0=
题目429: 83.0+73.0=
题目430: 53.0-20.0=
题目431: 26.0÷1.0÷66.0=
题目432: 49.0÷8.0=
题目433: 33.0+45.0×4.0+69.0=
题目434: 71.0-1.0=
题目435: (76.0-18.0)×19.0=
题目436: 7.0÷15.0÷97.0=
题目437: 72.0×48.0=
题目438: 21.0×68.0+94.0=
题目439: 26.0÷54.0×62.0=
题目440: (79.0-7.0)÷51.0=
题目441: 63.0÷58.0=
题目442: 61.0×5.0+90.0=
题目443: 38.0+64.0=
题目444: 95.0-80.0=
题目445: 83.0-84.0+80.0=
题目446: 35.0×56.0+98.0=
题目447: 39.0×69.0=
题目448: 82.0×98.0=
题目449: 100.0+35.0÷95.0+16.0=
题目450: 77.0×82.0=
题目451: 12.0+65.0=
题目452: 40.0×2.0×11.0=
题目453: 8.0+78.0+32.0=
题目454: 19.0×7.0+47.0=
题目455: 15.0+55.0×58.0=
题目456: 23.0-9.0=
题目457: 65.0÷8.0=
题目458: 26.0÷55.0×85.0=
题目459: 35.0+90.0=
题目460: 88.0×36.0+54.0=
题目461: 72.0×8.0=
题目462: 78.0+77.0-5.0+52.0=
题目463: 7.0+46.0=
题目464: 99.0×64.0×29.0=
题目465: (68.0-41.0)×80.0=
题目466: 18.0×99.0=
题目467: 9.0+57.0×24.0=
题目468: 42.0×16.0+32.0=
题目469: (82.0-9.0)÷32.0=
题目470: 97.0×48.0+31.0=
题目471: 5.0×20.0÷99.0=
题目472: 77.0÷20.0=
题目473: 31.0-27.0=
题目474: 81.0×97.0×60.0=
题目475: 85.0×4.0=
题目476: 26.0-100.0+96.0=
题目477: 67.0+42.0÷16.0=
题目478: 100.0×17.0÷58.0=
题目479: 63.0×80.0=
题目480: 5.0+84.0-89.0=
题目481: 43.0+64.0-32.0=
题目482: 72.0×41.0=
题目483: 94.0-12.0=
题目484: 74.0-50.0=
题目485: 29.0×63.0=
题目486: 84.0×10.0÷26.0=
题目487: 79.0×21.0×98.0=
题目488: 16.0+97.0=
题目489: 87.0×52.0=
题目490: 89.0×66.0=
题目491: 81.0+36.0×83.0=
题目492: 22.0+29.0÷92.0+80.0=
题目493: 5.0÷40.0=
题目494: 21.0+59.0=
题目495: 22.0÷93.0=
题目496: 10.0×69.0+87.0=
题目497: 17.0+85.0×40.0=
题目498: 3.0+82.0÷89.0+73.0=
题目499: 37.0×100.0+58.0=
题目500: 2.0×3.0=
题目501: 100.0×97.0=
题目502: 67.0×52.0+20.0=
题目503: 40.0÷4.0=
题目504: 56.0+43.0×15.0=
题目505: 94.0-10.0=
题目506: (58.0-22.0)÷24.0=
题目507: 15.0×72.0+82.0=
题目508: 19.0×86.0+65.0=
题目509: 56.0+29.0=
题目510: 44.0×60.0=
题目511: 100.0÷13.0=
题目512: 89.0+48.0=
题目513: 71.0×59.0×83.0=
题目514: 22.0÷73.0=
题目515: 89.0-53.0=
题目516: 76.0×97.0÷4.0=
题目517: (50.0-15.0)×19.0=
题目518: 28.0+36.0-39.0=
题目519: 77.0÷2.0×22.0=
题目520: 76.0-43.0-21.0=
题目521: 84.0-17.0=
题目522: 28.0÷70.0÷95.0=
题目523: 29.0÷25.0=
题目524: 24.0×65.0=
题目525: 45.0+2.0÷55.0=
题目526: 3.0÷48.0÷42.0=
题目527: 73.0-42.0=
题目528: (96.0-5.0)×72.0=
题目529: (56.0-39.0)×100.0=
题目530: 6.0+57.0=
题目531: 43.0-40.0=
题目532: 76.0+83.0=
题目533: 52.0÷66.0=
题目534: 80.0×2.0+72.0=
题目535: 57.0×62.0=
题目536: 20.0×41.0+51.0=
题目537: 58.0×75.0×33.0=
题目538: (50.0-7.0)×88.0=
题目539: 79.0+8.0=
题目540: 9.0+25.0×37.0=
题目541: 73.0-44.0=
题目542: 58.0+85.0÷99.0×87.0=
题目543: (58.0-13.0)×85.0=
题目544: 59.0÷97.0÷65.0=
题目545: 85.0÷34.0+74.0=
题目546: (78.0-60.0)÷77.0=
题目547: 69.0÷31.0÷37.0=
题目548: 63.0+13.0-49.0=
题目549: 65.0×23.0=
题目550: (80.0-77.0)÷88.0=
题目551: 1.0÷73.0=
题目552: 88.0×60.0=
题目553: 84.0×76.0=
题目554: 21.0÷16.0×33.0=
题目555: 65.0÷42.0=
题目556: 69.0-9.0+14.0=
题目557: 64.0÷19.0+13.0=
题目558: 97.0-37.0+4.0=
题目559: 98.0+89.0=
题目560: 40.0÷74.0=
题目561: 43.0×25.0+29.0=
题目562: 70.0÷90.0=
题目563: 21.0÷39.0=
题目564: 70.0+82.0=
题目565: 18.0+11.0=
题目566: 49.0+73.0=
题目567: 51.0+51.0=
题目568: 80.0+48.0-46.0=
题目569: 9.0÷46.0=
题目570: 86.0×85.0=
题目571: 18.0÷79.0=
题目572: 66.0+49.0=
题目573: 16.0÷88.0=
题目574: 12.0÷67.0=
题目575: 29.0+10.0-51.0+75.0=
题目576: 22.0×93.0=
题目577: 93.0+92.0=
题目578: 83.0÷41.0=
题目579: (96.0-50.0)×71.0=
题目580: 1.0×97.0=
题目581: (72.0-7.0)÷72.0=
题目582: 72.0÷8.0×39.0=
题目583: 99.0×8.0=
题目584: 2.0÷76.0×79.0=
题目585: 10.0÷67.0=
题目586: (32.0-26.0)÷29.0=
题目587: 20.0+81.0=
题目588: 2.0+54.0=
题目589: 45.0×92.0+56.0=
题目590: 70.0+58.0=
题目591: 31.0÷74.0+63.0=
题目592: (28.0-24.0)÷18.0=
题目593: (91.0-34.0)÷29.0=
题目594: (71.0-14.0)÷9.0=
题目595: 9.0+99.0=
题目596: 17.0+60.0=
题目597: 81.0÷35.0=
题目598: (77.0-8.0)×91.0=
题目599: 81.0-50.0=
题目600: 84.0×99.0÷31.0=
题目601: 18.0+82.0×23.0=
题目602: 92.0-37.0=
题目603: 53.0×12.0=
题目604: 45.0×64.0=
题目605: 42.0×88.0=
题目606: 49.0+73.0×1.0=
题目607: 84.0-59.0=
题目608: 24.0÷5.0=
题目609: 35.0÷17.0=
题目610: 59.0-47.0=
题目611: (18.0-1.0)×89.0=
题目612: 78.0×56.0÷79.0=
题目613: 7.0+99.0=
题目614: 61.0-23.0=
题目615: 94.0÷50.0=
题目616: 93.0-5.0=
题目617: 79.0×41.0÷26.0=
题目618: 82.0-14.0=
题目619: 74.0+6.0+100.0=
题目620: 95.0÷70.0=
题目621: 80.0×23.0×30.0=
题目622: 44.0×63.0=
题目623: 68.0÷100.0=
题目624: 83.0×27.0=
题目625: 13.0×55.0=
题目626: (15.0-7.0)÷80.0=
题目627: 85.0+18.0=
题目628: 17.0-44.0+94.0=
题目629: 4.0+33.0-2.0=
题目630: 40.0-13.0=
题目631: 17.0÷84.0÷27.0=
题目632: 31.0-13.0=
题目633: 56.0-10.0=
题目634: 10.0+89.0=
题目635: 63.0-8.0+65.0=
题目636: 75.0×81.0+40.0=
题目637: 7.0÷52.0=
题目638: 88.0×54.0=
题目639: 29.0×7.0=
题目640: 1.0÷56.0=
题目641: 58.0+85.0-62.0=
题目642: 46.0×25.0+15.0=
题目643: 52.0÷10.0=
题目644: 93.0×62.0÷94.0=
题目645: 72.0-95.0+91.0=
题目646: 35.0÷6.0=
题目647: (99.0-31.0)÷85.0=
题目648: 100.0÷55.0=
题目649: 55.0×49.0×5.0=
题目650: 76.0÷11.0=
题目651: 21.0×49.0=
题目652: 34.0-35.0+50.0=
题目653: 35.0×68.0=
题目654: 86.0×23.0+51.0=
题目655: 43.0+86.0=
题目656: 57.0+70.0-57.0=
题目657: 97.0+90.0=
题目658: 17.0×56.0=
题目659: 59.0×58.0=
题目660: 85.0÷87.0=
题目661: 66.0+35.0=
题目662: 91.0+74.0+3.0=
题目663: 33.0÷17.0=
题目664: 7.0÷52.0×13.0=
题目665: 49.0×7.0+88.0=
题目666: 32.0+51.0=
题目667: 63.0+68.0=
题目668: 85.0×21.0+10.0=
题目669: 50.0+47.0+62.0=
题目670: 78.0÷37.0÷96.0=
题目671: 79.0-69.0=
题目672: 92.0×55.0+18.0=
题目673: 30.0×48.0=
题目674: 95.0-46.0=
题目675: 53.0-47.0+17.0=
题目676: 60.0÷63.0÷52.0=
题目677: 5.0×98.0=
题目678: 84.0-2.0=
题目679: 47.0-40.0=
题目680: 86.0+67.0=
题目681: 79.0×4.0=
题目682: 72.0×55.0=
题目683: 54.0×69.0=
题目684: 31.0+25.0×7.0+39.0=
题目685: 54.0÷22.0=
题目686: 64.0×97.0+74.0=
题目687: 53.0+95.0-12.0=
题目688: (12.0-5.0)÷43.0=
题目689: 34.0÷27.0÷60.0=
题目690: 46.0+29.0+38.0=
题目691: 95.0+69.0×55.0+16.0=
题目692: 51.0×59.0+91.0=
题目693: 76.0+44.0-97.0+9.0=
题目694: 18.0+50.0-11.0=
题目695: 40.0+46.0-68.0=
题目696: 22.0÷38.0÷78.0=
题目697: 98.0×30.0+87.0=
题目698: 39.0×20.0+50.0=
题目699: 45.0×52.0÷28.0=
题目700: 13.0+35.0÷52.0=
题目701: 19.0×69.0=
题目702: 70.0×24.0=
题目703: 97.0÷99.0=
题目704: (22.0-4.0)×36.0=
题目705: 72.0+18.0=
题目706: 26.0+79.0-36.0=
题目707: 6.0×80.0=
题目708: (47.0-38.0)×100.0=
题目709: 40.0×91.0×8.0=
题目710: 19.0×41.0=
题目711: 70.0-56.0=
题目712: 4.0+59.0×10.0=
题目713: 20.0÷80.0=
题目714: 80.0+47.0=
题目715: 45.0÷46.0=
题目716: 39.0÷60.0=
题目717: 70.0+39.0=
题目718: 94.0÷74.0=
题目719: 94.0×24.0×100.0=
题目720: 34.0+91.0-22.0=
题目721: 35.0+14.0÷71.0=
题目722: 22.0÷4.0=
题目723: 41.0+62.0÷84.0=
题目724: 35.0+44.0÷76.0=
题目725: 62.0×80.0+72.0=
题目726: 23.0×72.0+21.0=
题目727: 23.0÷80.0+88.0=
题目728: (89.0-60.0)÷78.0=
题目729: 1.0+7.0÷9.0+10.0=
题目730: 14.0+90.0-10.0=
题目731: 53.0×92.0+70.0=
题目732: 15.0×65.0=
题目733: 11.0+87.0×10.0=
题目734: 12.0+60.0=
题目735: 90.0-74.0=
题目736: 65.0-59.0+71.0=
题目737: 52.0+7.0+31.0=
题目738: 4.0+45.0+6.0=
题目739: 16.0-9.0=
题目740: 61.0-34.0=
题目741: (22.0-15.0)×75.0=
题目742: 31.0-18.0=
题目743: 1.0+70.0=
题目744: (96.0-70.0)×65.0=
题目745: (72.0-72.0)÷42.0=
题目746: 26.0+2.0=
题目747: 17.0-7.0=
题目748: 86.0+3.0=
题目749: 89.0×9.0×62.0=
题目750: 100.0×79.0=
题目751: 17.0+65.0-16.0=
题目752: 69.0×73.0+85.0=
题目753: 24.0×75.0=
题目754: 27.0×59.0=
题目755: 49.0+15.0=
题目756: 88.0÷76.0=
题目757: 24.0÷47.0÷84.0=
题目758: 98.0÷95.0=
题目759: 45.0×92.0=
题目760: 83.0×18.0=
题目761: 44.0÷50.0÷17.0=
题目762: 4.0×15.0=
题目763: (59.0-57.0)×38.0=
题目764: 87.0+56.0÷92.0=
题目765: 16.0×15.0=
题目766: 17.0÷54.0+79.0=
题目767: 96.0×4.0=
题目768: 48.0-22.0=
题目769: 17.0+51.0=
题目770: (65.0-4.0)÷8.0=
题目771: 20.0+24.0+71.0+32.0=
题目772: 66.0+27.0=
题目773: 65.0+15.0=
题目774: 54.0×37.0+12.0=
题目775: 37.0×67.0=
题目776: 2.0×40.0=
题目777: 97.0÷33.0=
题目778: 99.0-97.0=
题目779: 17.0×71.0+93.0=
题目780: 52.0+5.0=
题目781: 24.0÷33.0+47.0=
题目782: 64.0÷44.0=
题目783: 45.0-24.0=
题目784: 80.0×78.0=
题目785: 23.0×10.0=
题目786: 8.0+55.0=
题目787: 9.0×38.0+49.0=
题目788: 41.0+21.0=
题目789: 42.0-5.0+8.0=
题目790: 45.0-3.0=
题目791: 17.0÷83.0=
题目792: 22.0÷82.0=
题目793: 86.0+85.0+69.0=
题目794: 12.0+77.0-50.0=
题目795: 37.0÷46.0×8.0=
题目796: 34.0-27.0=
题目797: 60.0+88.0=
题目798: 13.0-63.0+78.0=
题目799: 5.0+37.0=
题目800: 26.0×34.0=
题目801: 54.0+8.0+33.0=
题目802: 58.0×91.0=
题目803: (25.0-23.0)×36.0=
题目804: 73.0×34.0=
题目805: 31.0÷46.0=
题目806: 94.0-32.0=
题目807: 58.0+60.0÷6.0=
题目808: 56.0×81.0=
题目809: 75.0×84.0÷11.0=
题目810: 63.0×66.0=
题目811: 76.0+84.0-31.0=
题目812: (66.0-37.0)÷68.0=
题目813: 91.0-88.0=
题目814: 67.0×38.0+50.0=
题目815: 92.0÷37.0÷32.0=
题目816: 50.0×72.0+20.0=
题目817: 4.0÷96.0=
题目818: 69.0+18.0=
题目819: 77.0+72.0=
题目820: (88.0-32.0)×1.0=
题目821: 82.0+70.0=
题目822: 32.0÷49.0=
题目823: 28.0+30.0÷24.0=
题目824: 61.0×8.0×51.0=
题目825: 18.0÷70.0+85.0=
题目826: (55.0-3.0)×85.0=
题目827: 46.0+24.0+5.0=
题目828: 29.0×34.0÷51.0=
题目829: 3.0+49.0×97.0=
题目830: 59.0+64.0=
题目831: 2.0+61.0÷4.0=
题目832: (61.0-10.0)×5.0=
题目833: 91.0-37.0=
题目834: 43.0+10.0=
题目835: 66.0+26.0=
题目836: 84.0-73.0=
题目837: 50.0+12.0=
题目838: 8.0×54.0÷87.0=
题目839: 83.0×79.0=
题目840: 98.0-84.0=
题目841: 73.0÷21.0=
题目842: 79.0÷96.0×78.0=
题目843: 75.0×36.0=
题目844: 33.0÷96.0×68.0=
题目845: 34.0×8.0÷77.0=
题目846: 84.0-48.0=
